,name,username,license,tags,freesound_id,path
0,Standup_Bass_Stop_Finger_F4.wav,pjcohen,http://creativecommons.org/publicdomain/zero/1.0/,"['Stereo', 'Bass', 'Instrument', 'Double', 'Plucked', 'Standup', 'Upright', 'Acoustic']",383560,files/383560_394391-hq.ogg
1,SID-ResBass-short-C#4.wav,supadoh,http://creativecommons.org/licenses/sampling+/1.0/,"['bass', 'c64', 'sid']",51513,files/51513_610202-hq.ogg
2,BASS 0209.wav,zgump,http://creativecommons.org/publicdomain/zero/1.0/,['bass'],83253,files/83253_377011-hq.ogg
3,SID-ResBass-short-A#1.wav,supadoh,http://creativecommons.org/licenses/sampling+/1.0/,"['bass', 'c64', 'sid']",51498,files/51498_610202-hq.ogg
4,ElectroBass13.wav,gellski,http://creativecommons.org/licenses/by/3.0/,"['reversed', 'hard', 'bass', 'distortion']",288881,files/288881_1471115-hq.ogg
5,DK´s Hardcore Bass 02.wav,e30029,http://creativecommons.org/publicdomain/zero/1.0/,"['Hardcore', 'hard', 'bass', 'Kick']",144150,files/144150_1779635-hq.ogg
6,Future Garage (BASS)_07,jalastram,https://creativecommons.org/licenses/by/4.0/,"['sample', 'tech', 'futuregarage', 'bass']",717726,files/717726_3905081-hq.ogg
7,Sylenth1_BS_THAT_Psy_Bass_G3.wav,zoidlay,http://creativecommons.org/publicdomain/zero/1.0/,"['Bass', 'THAT', 'Sylenth1', 'sample', 'Psy', 'Psytrance', 'BS']",616675,files/616675_3963805-hq.ogg
8,Bass Simple Tune #6,AUDACITIER,https://creativecommons.org/licenses/by/4.0/,"['simple', 'bass', 'tune']",632023,files/632023_13682949-hq.ogg
9,Bass_Notes(Raspier)_002.wav,AlienXXX,https://creativecommons.org/licenses/by/4.0/,"['bass', 'bassguitar', 'dry', 'electric']",81957,files/81957_97763-hq.ogg
10,21_SB_Bass_Hit_F.wav,DaveN,http://creativecommons.org/publicdomain/zero/1.0/,"['analog', 'bass', 'synthetic', 'virtual-analog']",18096,files/18096_69312-hq.ogg
11,BASS13.aif,NoiseCollector,http://creativecommons.org/licenses/by/3.0/,"['bass', 'multisample', 'synth']",4457,files/4457_4948-hq.ogg
12,KRG TAPE BASS C6.wav,patchen,https://creativecommons.org/licenses/by/4.0/,"['analog', 'bass', 'multisample', 'resonant', 'synth', 'tape', 'tone', 'wave']",3523,files/3523_6997-hq.ogg
13,sub bass stab d 2.wav,djgriffin,https://creativecommons.org/licenses/by-nc/4.0/,"['bass', 'noise', 'stab', 'sub', 'synth']",21587,files/21587_45941-hq.ogg
14,Bass Synth Psy Punch 01 Mono,qubenzis,https://creativecommons.org/licenses/by-nc/4.0/,"['synth-bass', 'psytrance', 'bass', 'psybass', 'sub', 'one-hit', 'sampling', 'bass-hit', 'bass-note']",172234,files/172234_537676-hq.ogg
15,BASS 0102.wav,zgump,http://creativecommons.org/publicdomain/zero/1.0/,['bass'],75229,files/75229_377011-hq.ogg
16,a5sus2 arpeggio stab glassy synth clicky low freq atmosphere bass-01.wav,@realdavidfloat,http://creativecommons.org/publicdomain/zero/1.0/,"['a5sus2', 'atmosphere', 'glassy', 'bass', 'clicky', 'arpeggio', 'stab', 'low', 'synth', 'freq']",418919,files/418919_7052167-hq.ogg
17,DnB Bass 01.wav,Exsomniel,http://creativecommons.org/publicdomain/zero/1.0/,"['Dubstep', 'Exsomniel', 'Bass', 'Reece', 'DnB']",206134,files/206134_3863330-hq.ogg
18,Jazz Bass Open E.wav,silver887,http://creativecommons.org/publicdomain/zero/1.0/,"['bass', 'Jazz-Bass', 'Flatwound-Strings', 'Key-of-E', 'DI-Pedal', 'Warm', 'low', 'Bass-Guitar', 'Mellow']",530224,files/530224_8892050-hq.ogg
19,SYNDRM-PSY-BASS-A1-20230918_145843.wav,SYNDRM,http://creativecommons.org/publicdomain/zero/1.0/,"['synth', 'clear', 'bassline', 'loud', 'processed', 'bass', 'trance', 'analog', 'progressive', 'punch', 'techno']",706088,files/706088_12724901-hq.ogg
20,Sub SIne A0.wav,LukeSharples,https://creativecommons.org/licenses/by/4.0/,"['Instrument', 'Sine', 'Sub']",145649,files/145649_2583849-hq.ogg
